userName Labels,Major Labels,Department Labels,program labels,researchExp,industryExp,internExp,journalPubs,Term Label,confPubs,University Labels,admit,normalized_cgpa,normalized_topper_cgpa,greTotal
3843.0,,,,,,,,,,,,0.7,0.8,324.0
,,20.0,1.0,0.0,,,,2.0,,52.0,,0.815,,
,,,,0.0,,,,1.0,,,,,0.95,
,,,1.0,,,,,,,52.0,,0.805,,
3915.0,,18.0,,,,,,,,,0.0,,,312.0
3921.0,,,,,,,,,,,0.0,,,
3924.0,,,,,,,,,,52.0,0.0,0.655,0.655,
,,,,,,,,,,,0.0,,,
,,,,,,,,,,,,,,
,,27.0,,,0.0,0.0,,,,52.0,,,0.86,
4077.0,,,,,,,,1.0,,,0.0,,,
4087.0,,,,,0.0,,,,,52.0,,,,310.0
4148.0,,,1.0,,,,,,,52.0,,,,
,,,1.0,,,,,,,52.0,0.0,0.79,0.84,
,,,,,,,0.0,,0.0,,,0.82,,323.0
4226.0,,,,,,,,,,,0.0,,0.94,317.0
,,28.0,,,,,,,,52.0,,0.918,0.98,326.0
,28.0,,,,,,,1.0,,,,,,
4332.0,,,,,,,0.0,,,52.0,0.0,0.79,0.87,
,,,,,,,,,,,,,0.97,
4367.0,,,,,,0.0,,,,52.0,0.0,,,
4378.0,,,,,,,,,,,0.0,0.723,,
,,,,,,,,,,52.0,0.0,,,
4455.0,27.0,,,,,,,,,,0.0,0.797,0.9,
,,,,,,,,,,,0.0,0.765,,
,20.0,,,,,,,,0.0,,0.0,,,
4492.0,,,,,,,,,,,,0.82,,
4504.0,,,,,,,,,,52.0,,0.75,0.75,
4516.0,,,,0.0,,,,,,,,,,
,,,,,22.0,,,,,,,0.51,,
4567.0,,,,,,,,,,,,,,
,,,,0.0,,,,,,52.0,,,,312.0
4629.0,,,,0.0,,,,,,52.0,,0.89,0.94,
4677.0,,,,,,,0.0,,,,,,0.95,
,,,,,,,0.0,,0.0,52.0,0.0,,0.88,
,,,,,,,,,,,0.0,0.75,,
4741.0,,,1.0,,,,,,,,0.0,,,
,,,,,,,,,,,0.0,0.901,0.95,307.0
4793.0,,,,,,,,,0.0,52.0,,,,
4801.0,52.0,,,,,,,,,52.0,,,0.836,
,,,,,0.0,,,,,52.0,,,,
,,,,,,,,,,52.0,,0.7271,,
4843.0,,,,,,,,,,,0.0,0.71,0.98,
4846.0,,,,,,0.0,,,0.0,,0.0,0.69,,
4889.0,,,,,,,,,,,,0.7616,,
4929.0,,,,,,,,,,,,,0.856,
,,,,,0.0,0.0,0.0,,,52.0,0.0,,,319.0
,,,,,,,,,,52.0,,,,315.0
,,,,,,,,,,52.0,0.0,,,
5088.0,,,,,,0.0,,,,52.0,,0.774,0.81,308.0
,,,,,,,,,,,0.0,,,320.0
,,,3.0,,,,,,,52.0,,0.611,,
,,,,,,,,,,,0.0,,,
5137.0,,,,,,,,,,52.0,0.0,,,
5165.0,,,,,,,,,,52.0,0.0,0.8364,,
5239.0,,,,,,,,,,,,0.76,0.76,
,,,,,0.0,,,,,,,,0.968,315.0
5354.0,,,,,,,,,,52.0,,,,
,,,,,,0.0,,1.0,,,,0.8,0.86,
,,,,,,,,,,,,,,325.0
,,,,,0.0,,,,,,0.0,,0.8,
,,20.0,,,,,,,,,0.0,,,
,,,,,,,,,,52.0,,,,
5495.0,,,,,,,,,,52.0,0.0,0.814,,
,,,,,,,,,,,0.0,,,321.0
,,,,,,,,,,,,,,
5528.0,,,,,,,,,,,,0.873,,310.0
,,,,,,,,,,,,0.77,,317.0
,,,,,,,,,,,0.0,0.7,,
,,,,,,,,1.0,,,,,,318.0
5632.0,,,,,,,,,,,0.0,,,
5662.0,,,,,,,,,,52.0,,,,
,,,,,,0.0,,1.0,,52.0,,,0.93,
,,20.0,,,,,,,,,,,0.8,
,,,,,,,,,,,,0.871,,315.0
5746.0,,,,,,,,,,52.0,,0.828,,
,,,1.0,,,,0.0,,,,,,,321.0
5779.0,,,,,,0.0,,,,,,,,
,,,1.0,,,,,,,,,0.623,,321.0
,,,1.0,,,,,,,,0.0,,,
,,20.0,,,,,,,,52.0,,,,
,,,,,,,,,,52.0,0.0,,,324.0
5915.0,28.0,,,,,,,,,,,0.853,0.975,
5939.0,,,,0.0,,,0.0,,,52.0,,0.74,0.94,
,,,,,,,,,,52.0,0.0,0.794,,
5966.0,,,,,,0.0,,1.0,,,,,0.912,313.0
5972.0,,,,0.0,,,,1.0,,52.0,,,,319.0
,,27.0,,,,,,,,,0.0,,0.98,322.0
5993.0,,,,,,,,,,52.0,0.0,0.7732,,
,,,,,,,,,,52.0,,,0.94,
,,,,,,,,,,,0.0,0.762,,315.0
6051.0,36.0,,,,,,,,,,,,0.82,
6084.0,,,,,,,,,,,,,0.84,
6097.0,,,1.0,,,,,,,52.0,0.0,,,
,,27.0,,,,,,1.0,,52.0,,0.88,0.91,
6137.0,,,,,,0.0,,,1.0,52.0,0.0,0.8,0.96,324.0
,,,,,,,,,,,,,0.96,323.0
6168.0,,,,,,,,,,,0.0,,,327.0
6184.0,20.0,,,,,,0.0,,,,,0.8,,
6210.0,,,1.0,,,,0.0,,,52.0,,0.74,,
,,,,,,0.0,,,,52.0,,,,
6278.0,,20.0,1.0,,,,,,,,,,,
,,20.0,,,,,,1.0,,,,,,
,,,,0.0,0.0,0.0,,,0.0,,,,0.9,
,,,,0.0,0.0,,,,,,0.0,,0.76,
6390.0,,,,,,,,1.0,,,,,1.0,
6399.0,,,,,,,,,,,,0.71,,327.0
,,,1.0,,0.0,,,,,52.0,0.0,,,322.0
6421.0,,,,,,,0.0,,,,,0.7995,0.972,
,20.0,20.0,,,,,,,,,,,0.088,
,,,,,,,,,,,,,,326.0
,,27.0,,,,,,,,,0.0,,,
6444.0,,,,,,,,,,,0.0,0.73,,
6459.0,,,,,,,,,,,0.0,0.668,,
6495.0,28.0,,,0.0,,,,,,52.0,,,,
,,,,,,,,,,52.0,,0.851,,
6508.0,,,,,,,,,,,0.0,,0.92,314.0
,,,,,,0.0,,,,,0.0,,,324.0
,,,,,,,,,,52.0,,0.85,,312.0
,,,,,,,,,,,0.0,,1.0,325.0
,,,,,,,,,,52.0,0.0,0.681,,
,,,,,0.0,,,1.0,,52.0,0.0,,0.945,311.0
,,,1.0,,,,,,0.0,,,,,
,,,,,,,,,0.0,,,,,
6649.0,,,,,,,,1.0,,,0.0,0.76,0.85,310.0
